n4665450,雪笠、公鸣：信仰恒久 经年愈坚
n8711451,被中共杀害的国军抗日将领：41名少将（上）
n8708559,周晓辉：共产党“五大导师”之列宁（下）
n8711526,被中共迫害的两届政治局常委及其父辈
n8716176,玉清心：锡盟草原上知青的那69座坟茔
n8718425,林辉：中共长征是逃跑还是北上抗日？
n8718710,中共杀害民国上将宋鹤庚与护法军司令夏之时
n8720347,玉清心：从知青“七人轮奸案”看如何制造假案
n8711519,被中共杀害的国军抗日将领：44名中将（下）
n8721196,高天韵：文革“红八月”的冤魂—卞仲耘
n8729080,林辉：被中共迫害的“十大元帅”之结局(中)
n8730698,玉清心：宁夏兵团两冤案 八名北京知青被枪毙
n8731884,林辉：被中共迫害的“十大元帅”之结局(下)
n8733609,曾伯炎：右派，惨受株连的妻儿们
n8734221,陆文：伪火十六载 今朝丑戏完
n8735098,高天韵：她为何成了文革“要案”的主角？
n8735154,林辉：被中共迫害的国家正副主席（上）
n8738621,林辉：被中共迫害的国家正副主席（中）
n8738829,章天亮：从公义和常识出发
n8738712,武昌首义元勋邓玉麟 年过古稀遭中共杀害
n8742187,林辉：被中共迫害的国家正副主席（下）
n8742418,国军抗日名将喻英奇 拒叶剑英劝降遭中共杀害
n8744097,傅雷之死──文化名人的文革厄运
n8743566,周晓辉：共产党“五大导师”之斯大林（中）
n8749308,掸封尘：雾霾中国与灰埋庞贝
n8743542,周晓辉：共产党“五大导师”之斯大林（上）
n8751032,林辉：被中共迫害的国民党高官子女及亲属（上）
n8743600,周晓辉：共产党“五大导师”之斯大林（下）
n8752583,林辉：被中共迫害的国民党高官子女及亲属（中）
n8753343,多少“逃港”知青魂飘大海
n8752598,林辉：被中共迫害的国民党高官子女及亲属（下）
n8756829,“乒坛三杰”文革自杀之悲剧
n8759070,林辉：中共何曾备战与粉碎侵华日军计划？
n8759264,林辉：被中共迫害的民革中央六大高官（上）
n8758643,周恩来主导“一打三反”运动 杀人或逾十万
n8758753,北大才子王实味和他滴血的野百合花
n8760215,文革中被枪决的指挥家——陆洪恩
n8761362,中共杀害“文革思想者” 刑前残忍“消声”
n8762539,三百年一见的国学大师陈寅恪之死
n8764186,文革湘西“特一号”案 丁祖晓批个人崇拜被杀
n8765218,被中共迫害的民革中央六大高官（下）
n8765336,被中共迫害死的著名国学大师蒙文通
n8765789,文革悲音——钢琴诗人顾圣婴
n8768594,周晓辉：盘点明天系掌门人肖建华的政商圈
n8762351,巴金——中共镁光灯聚焦下的道具
n8771985,被中共迫害的国学大师马一浮
n8768837,被中共迫害的民盟六大高官（上）
n8775139,被中共迫害的民盟六大高官（下）
n8778117,悲叹文化灭亡 绝食而死的国学大师熊十力
n8780394,周晓辉：共产党“五大导师”之毛泽东（一）
n8779799,玉清心：韦君宜的《思痛录》为何洛阳纸贵
n8779818,文革究竟死多少人？邓小平：那是天文数字
n8783966,周晓辉：共产党“五大导师”之毛泽东（二）
n8785511,被杀害的“反文革”第一人──刘文辉（上）
n8787054,周晓辉：共产党“五大导师”之毛泽东（三）
n8788998,被杀害的“反文革”第一人—刘文辉（下）
n8790234,横河：土改、乡绅和农村的衰落
n8785286,被中共迫害的民主促进会四大高官
n8786901,延安整风的历史碎片：整疯、整死、处决
n8788821,大饥荒死亡人数或超四千万 中共内部数据泄密
n8793965,周晓辉：共产党“五大导师”之毛泽东（四）
n8795127,敢叫板蒋介石却被中共害死的国学大师刘文典
n8796143,纳粹集中营解密 “多人无意间参与谋杀”
n8797603,大饥荒饿死人 毛泽东秘密会议上发表恐怖言论
n8799259,冯真：还原《苦菜花》电影背后的真相
n8801714,被中共迫害的民建四大高官（上）
n8801970,史还真：中国人应知的重要事—中华文化受尊崇
n8803466,石元裕：说实话者死 60年的难忘记忆 (1)
n8804185,被中共迫害的民建四大高官（下）
n8807341,大饥荒年代 毛泽东生活奢靡大建奢华行宫
n8809061,周晓辉：中共七十年前曾承诺建立美国式民主
n8806850,石元裕：说实话者死 60年的难忘记忆（2）
n8811129,林辉：中共如同变色龙 十八次修改党章
n8810787,大饥荒年代中共高官享特供 北京流传一民谣
n8814832,石元裕：说实话者死 60年的难忘记忆(3)
n8815942,“大师的大师”叶企孙的陨落
n8817219,中共御用文人郭沫若的两个儿子惨死于文革
n8814651,程晓容：共产主义远比纳粹邪恶
n8818768,苏联逼债致大饥荒？中共两大谎言被戳穿
n8819841,目盲腿断 国学大师吴宓凄惨晚年
n8821993,石元裕：说实话者死 60年的难忘记忆（4）
n8822378,大饥荒时中共出口136亿斤粮 够3400万人吃1年
n8819978,曹禺——从“戏剧天才”到“精神残废”
n8828308,大饥荒周恩来下令毁证 继续征粮出口换黄金
n8828832,鲜为人知的“两弹一星”专家受迫害经历
n8831014,贫贱夫妻百事哀——文革中底层社会缩影
n8828201,遭性迫害的女知青是个庞大群体
n8825945,武林旧事：高手不堪凌辱怒杀红卫兵后自尽
n8832992,农工党“十大右派”与一中央委员的悲惨结局
n8830661,《阿诗玛》与杨丽坤的苦难人生
n8835483,中共封锁大饥荒消息 剥夺农民求生权
n8836589,林辉：谁是八年抗战的中流砥柱？
n8839496,一名共产党高官及其家族的命运悲剧
n8840492,林辉：中共不抗日反而通敌卖国
n8840623,林辉：“皖南事变”的始作俑者是中共
n8846148,李天明：从刘少奇的悲惨结局看中共的人整人
n8844339,南泥湾种鸦片 张思德之死背后有秘密
n8850163,上七万言书后坐监十年 十世班禅被毒杀
n8849381,长春围困战──“死城”的记忆
n8851944,大饥荒中共禁止开仓放粮 出动军队镇压饥民
n8848013,林辉：中共地道战地雷战的真相
n8857778,王友琴：八月祭
n8855161,国学大师康有为遭中共鞭尸 后代被批斗
n8859796,周晓辉：共产党“五大导师”之毛泽东(完整版)
n8855307,西藏文化被摧残 大昭寺作猪圈上师被批斗
n8860506,袁斌：中共在中华民族救亡史上有过担当吗？
n8861150,王友琴：受难者和暴君
n8858688,郝忠良：给《白毛女》伴奏一辈子才知受骗
n8863360,大饥荒期间发生大量人吃人事件 悲惨异常
n8864551,林辉：白毛女乃虚构 黄世仁本是大善人
n8861612,苏联共产党的杀人历史简述（上）
n8866463,王友琴：清华附中模式（上）
n8869371,袁斌：中国“东亚病夫”的形象是谁改变的？
n8869408,袁斌：中共建政使中华文明在政治上陷入颓势
n8870896,林辉：藏民大规模反抗中共的背后原因
n8873528,林辉：1949年后天主教神父的炼狱
n8870000,王友琴：清华附中模式（下）
n8858719,赵翠巧：唱《白毛女》、跟毛周跳舞的经历
n8869423,袁斌：跨过鸭绿江，中共是韩战名副其实的输家
n8876742,“红飞蛾”的悲剧——上万知青投身缅共打仗
n8878615,林辉：抗战时国军将军的言行让中共将领汗颜
n8875345,王友琴：曾在芝加哥大学留学的五名文革受难者（上）
n8885166,中共整肃AB团引富田事变 红20军700军官被杀
n8886211,杨宁：毛泽东被捕真相与一个普通家庭的悲剧
n8882643,林辉：救了中共高官的“红色医生”的结局
n8885264,曾在芝加哥大学留学的五名文革受难者（下）
n8889214,中共残酷整肃AB团 陈毅妻子吓得投井自尽
n8890329,九三学社和台盟知名人士的难言人生（上）
n8892634,柬埔寨共产党的杀人历史简述
n8893704,中共肃反 夏曦杀人如麻离奇溺亡
n8890562,九三学社和台盟知名人士的难言人生（下）
n8895498,史思：抛弃共产暴政 回归传统文明
n8896789,邓小平的连襟和弟弟走上了自杀之路
n8899939,林辉：中国第一座古刹白马寺的文革劫难
n8887603,丁抒：阳谋（连载）
n8900807,刘晓：还原被扭曲的“四大地主”形象
n8903009,曾铮：“不说话的右派”
n8901817,王友琴：六十三名受难者和北大文革（上）
n8921370,林辉：原国务院副总理后悔跟毛走与加入中共
n8905628,林辉：“五反”中行业龙头大佬决绝的一跳
n8923691,张国焘残酷“肃反” 徐向前之妻被虐杀
n8925057,杨宁：著名医生林巧稚文革做护工 拒入中共
n8929944,大饥荒饿死四千万人 中共做了什么
n8932752,林辉：延安整风的恐怖与《东方红》出现
n8934582,蔡咏梅：用视像揭开中国古拉格的黑幕
n8902587,王友琴：六十三名受难者和北大文革（下）
n8899967,玉清心：“严打运动”冤魂知多少
n8935319,文革中他为什么把母亲送上了断头台？
n8938853,掸封尘：张果老为什么倒骑驴？
n8941831,七名被判死刑的北京大学“右派分子”（上）
n8939479,杨宁：邓小平等中共高官子女们的文革经历
n8943573,玉月：“狄、林反党集团”背后的黑幕
n8943577,周恩来在贺龙惨死案中鲜为人知的真面目（上）
n8944781,林辉：“惨”字写就的京剧四大须生之晚景
n8946588,契卡如何成为列宁的杀人工具？
n8947333,周恩来在贺龙惨死案中鲜为人知的真面目（下）
n8949053,饿死百万人的信阳事件——三年大饥荒的缩影
n8947174,周晓辉：从纳粹和苏共到中共之大规模焚书
n8950854,原国务院副总理方毅称毛是历史上最大暴君
n8951070,魏谷：孔子、历史和中共（一）
n8956369,林辉：京剧四大名旦1949年后的苦痛人生
n8946714,契卡无法无天 苏联外交部都头痛不已
n8956469,李天明：名小提琴家马思聪的逃亡路
n8961098,林辉：真实的董存瑞与同名电影主角的遭遇
n8958233,砸碑毁林 刨坟曝尸 中共如何扫荡孔庙圣地
n8958855,广西文革中骇人听闻的性暴力
n8963571,汇文：当良心遭遇政治
n8963749,林辉：反抗中共的《星火》杂志与林昭之死
n8958269,中共“批孔”和建孔子学院的闹剧
n8966645,林辉：放弃马列的陈独秀与其逃港的女儿
n8942086,七名被判死刑的北京大学“右派分子”（下）
n8966475,广西文革中的吃人狂潮（上）
n8969170,末代皇帝文革中连病带吓而死 族人被抄家
n8972322,广西文革中的吃人狂潮（中）
n8973032,网文：中国古人怎样对待“父母之仇”
n8972824,中共元老李立三一家的生死劫难
n8974261,林辉：同仁堂传人自杀 母亲和夫人被打死
n8974775,李宇明：大饥荒时期的红色画家
n8969781,吴祖光与新凤霞——文艺伉俪的人生磨难
n8974296,林辉：李大钊与其被中共批斗的长子
n8979640,王友琴：文革“斗争会”（上）
n8969160,苏共暴政下的群体灭绝（上）
n8981494,“美猴王”父亲钻狗洞 伯父被摧残致死
n8980914,苏共暴政下的群体灭绝（下）
n8986280,林辉：山本五十六座机被击落与中美合作所
n8976181,广西文革中的吃人狂潮（下）
n8984886,苏共与德国纳粹的秘密协议
n8986368,林辉：造假的江姐受刑与《红岩》作者自杀
n8983637,王友琴：文革“斗争会”（下）
n8993891,王友琴：摧毁日记的革命（上）
n8994782,林辉：毛喊完“蒋主席万岁”后挑起内战
n8992485,组图：文革中自杀的留美归国科学家
n8997049,丁抒：执政初期的镇反与土改阳谋
n8998810,杨宁：在中国失去安全感的红色记者斯特朗
n8994257,王友琴：摧毁日记的革命（下）
n9001013,林辉：苏军东北施暴 中共置若罔闻
n9000152,丁抒：“三反”“五反”下指标逼供信
n9000308,金钟访问文革研究者王友琴
n9004541,红色恐怖的野蛮狂欢
n9005811,林辉：两位诺贝尔文学奖得主访苏归来后
n9005586,林辉：杨开慧指毛是双料流氓
n9008069,丁抒：打掉知识分子的自尊心
n9015426,林辉：瞿秋白“多余的话”与父母坟墓被掘
n9022484,林辉：民国最高院检察长与大法官凄惨的结局
n9022279,丁抒：胡风案——空前的文字狱
n9025923,丁抒：肃反——矛头转向内部
n9018949,共产主义的淫乱基因——性解放
n9029846,刘晓：不可饶恕的《阿里郎》与《东方红》
n9036062,林辉：中共与苏俄三个时期签订的卖国条约
n9036016,【书评】长春围城 其实一直都没有结束
n9040551,林辉：“抗美援朝”真相与朝鲜族师团结局
n9043069,北京上海公安局长死于文革的内幕
n9046126,丁抒：双百方针与延安整风
n9048665,林辉：下关惨案与李、闻之死背后的鬼影
n9052650,林辉：全聚德传人文革喂猪 烤鸭店牌匾被摘
n9058631,毛泽东卖国秘闻 为投靠苏联曾想定都哈尔滨
n9060070,林辉：北大中共党员沈崇色诱美军之用意
n9063895,林辉：文革刘宝瑞尸骨无存 侯宝林屡被批斗
n9066173,中共关于美国西点军校的三大谎言的背后真相
n9071644,费良勇：清除共产僵尸及其雕塑和思想
n9071211,林辉：中共没放过袁世凯黎元洪的后人
n9076523,林辉：美军档案中无名的上甘岭战役真相
n9082113,林辉：飞虎队英雄与投共飞行员的失足之恨
n9082737,李锐揭文革秦城监狱内幕：近30高官死亡
n9086733,周晓辉：还原共产党百年真相 中共官媒静悄悄
n9088687,丁抒：千方百计引蛇出洞
n9086837,林辉：中共威逼诱骗战俘回国与其之后遭遇
n9090863,林辉：当芭蕾舞剧《天鹅湖》主角遭遇文革
n9097017,杨宁：1968年的法国“文革”与西方性解放
n9100825,林辉：金日成清洗延安派与捣毁中共军人陵园
n9104715,刘晓：“三一八惨案”与“六四屠杀”发生后
n9106617,香港赤祸——中共操控“六七暴动”内幕
n9107164,“国歌”词曲作者与为毛语录谱曲者苦涩结局
n9107352,“七千人大会” 刘少奇口头报告触怒毛泽东
n9106054,共产党与恐怖主义的渊源
n9110897,“四清运动”内幕 毛泽东矛头指向刘少奇
n9112091,刘晓：两相对比 中共“新社会”才是黑暗的
n9117217,林辉：曾经被中共活体解剖的国军战俘
n9116522,“改造”知识分子思想 毛重演延安整风
n9123961,毛发动“四清运动”预演“文革”（完整版）
n9125025,杨宁：贺子珍命运多舛 一家人亦没躲过文革
n9129649,林辉：向毛与中共挑战的两名北大学生之死
n9124238,中共打垮知识分子独立人格 华罗庚自杀未遂
n9133031,毛泽东准备死掉三亿中国人跟美国打核战争
n9137556,李宇明：“抗美援朝”给中国人带来深重灾难
n9145584,林辉：宋庆龄逢大事必糊涂 宋美龄一语中的
n9124299,中共思想改造对知识分子“诛心”（完整版）
n9152282,周晓辉：东德安全部消亡及其特务头子受审
n9153861,李宇明：金正恩与毛岸英走的都是不归路
n9159618,林辉：皇家园林颐和园圆明园之殇
n9163409,周晓辉：“匈牙利斯大林”发动的大清洗
n9168562,晓明：一场亘古未有的特大文字狱冤案
n9172021,林辉：民国两大报人误投中共后的绝望
n9172303,让人沦为廉价奴工的苏共经济暴政
n9177055,周晓辉：匈牙利十月革命 中共支持苏出兵镇压
n9181535,戴路：中山陵——国父孙中山正德配位
n9182411,林辉：大寨造假与红旗渠的红色恐怖
n9189623,让人沦为廉价奴工的苏共经济暴政（三）
n9183941,让人沦为廉价奴工的苏共经济暴政（二）
n9192525,西安事变真相（1） 张学良实为中共特别党员
n9193441,林辉：傅斯年钱穆慧眼洞穿毛和中共（上）
n9195916,严实：真相必须揭示
n9193469,林辉：傅斯年钱穆慧眼洞穿毛和中共（下）
n9197635,西安事变真相（2） 张学良私通苏联与中共
n9195856,司马泰：被隐瞒的红军“西征”
n9204620,西安事变真相（3） 张学良派兵进攻蒋住地
n9201338,林辉：朱自清之子被杀 镇反运动冤案无数
n9206782,求真：文化大革命中，究竟谁利用了谁？
n9211081,西安事变真相（4） 毛扣留苏联电报 决意杀蒋
n9206562,林辉：留在北大三任校长及家人身上的痛（中）
n9206448,林辉：留在北大三任校长及家人身上的痛（上）
n9215316,美国解密档案 披露江泽民六四中扮演重要角色
n9206662,林辉：留在北大三任校长及家人身上的痛（下）
n9217273,周策群：毛主义筑起的三座罪恶大山之一
n9219912,西安事变真相（5）中共藉邪恶手段避祸窃国
n9219868,美加解密文件揭六四血腥屠杀内幕及死亡人数
n9220984,陆仁：王国维先生自沉背后的憧憧鬼影
n9221024,冯义：《苦菜花》里的“汉奸”冯鉴之真相
n9222596,杨宁：六四屠杀时中共使用了开花弹
n9225404,六四清场军队内讧 28军机枪扫射空军直升机
n9226899,林辉：有多少人上了中共《约法八章》的当
n9226308,司马泰：昔日“红小鬼”与今日“娃娃兵”
n9229806,西安事变 中共企图杀蒋介石内幕（完整版）
n9194875,共产主义的黑暗源头（上）
n9234442,刘晓：尼克松访华期间的中共造假与恐怖
n8976716,被枪决的1955年高考状元
n9240275,林辉：红顶商人荣毅仁三次申请退党
n9229643,共产主义的黑暗源头（中）
n9250216,【秘档】毛泽东加罪潘汉年的内幕
n9246992,组图：《古拉格绘本》揭苏共种族灭绝罪行
n9250661,高天韵：从《古拉格群岛》到《古拉格绘本》
n9251052,林辉：误判中共的章培章乃器兄弟之不幸
n9244375,林辉：“中国的摩根”做了正确的选择
n9252458,中印边界战争内幕 中国胜而不利（上）
n9252793,陆真：人民天天在期盼法治，政府年年在忽悠法治
n9254066,【秘档】南泥湾“大生产运动”种植罂粟
n9256513,中印边界战争内幕 中国胜而不利（中）
n9259381,林辉：作家梁实秋张爱玲慧眼看透中共（上）
n9239835,共产主义的黑暗源头（下）
n9257943,【秘档】埋下祸根的“农业合作化”运动
n9266359,林辉：作家梁实秋张爱玲慧眼看透中共（下）
n9268175,林辉：中共建政后至九十年代的活摘器官
n9272480,张东园：受境外势力资助卖国 中共是鼻祖
n9268434,【秘档】百团大战、皖南事变的真相
n9272961,晓明：疯狂掠夺与残害的历史大灾难
n9266721,中印边界战争内幕 中国胜而不利（下）
n9268255,杨宁：贝聿铭留美成大师 家族成员苦难多
n9279111,求真：要弘扬传统文化必须彻底否定文革
n9281131,司马泰：揭秘中共性乱史的理论基础
n9281271,梁木：江泽民御用文化人内幕（2）
n9279089,周晓辉：东德秘密读者见证共产党宣传失败
n9284037,中印边界战争内幕 中国胜而不利（完整版）
n9285555,刘晓：末代衍圣公孔德成为何拒回大陆？
n9281889,【秘档】反右运动之二：放长线钓大鱼
n9292519,林辉：文革“西湖三杰”忠骨无处埋（上）
n9281979,【秘档】反右运动之三：覆手为雨
n9292940,林辉：文革“西湖三杰”忠骨无处埋（下）
n9296547,袁斌：是谁割破了张志新们的喉管？
n9297462,【秘档】湖南农民运动是痞子运动
n9301552,杨宁：让中共害怕的“反共元老”叶青
n9303188,【秘档】中共抗战史是一部谎言史
n9303834,刘晓：蒋介石祖坟文革被毁 蒋母遗骨被焚
n9302854,惨遭中共鞭尸的千古义丐武训
n9324357,林辉：敦煌躲过劫难 守护者常书鸿遭重创
n9331132,杨宁：始于延安的中共特供制度延续至今
n9331484,【秘档】一分抗日、二分应付、七分发展
n9338739,林辉：画家李可染的人生之痛
n9338803,【秘档】“抗美援朝”背后的三国密谋
n9341788,【视频】共产主义不是出路而是绝路
n9345631,林辉：共产党宣扬无神论 膜拜僵尸始于列宁
n9347294,颜丹：“战斗英雄”到底该如何界定？
n9348449,林辉：共产党宣扬无神论 毛尸膜拜戕害国人
n9347123,苏联绝密档案：拥有特异功能的梅辛（1）
n9352295,杨宁：文革被打倒祖坟被挖 杨尚昆死不瞑目
n9347134,苏联绝密档案：通灵部队10003（2）
